Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-Dodecanone,-79.039,2.407,10616.0,151.08,9.9512,0.33917,171.18,0.12093,31.87,0.0501,82.739,2.82,-51506.0,85.685,-70.011,0.18494,-58223.0,245.78,-86.704,0.59983,90.0,250.0,0.99999,0.0002944,4.9067e-5,9
C14,-73.738,3.425,10365.0,215.45,9.1767,0.48252,171.64,0.1855,31.484,0.088022,76.299,4.0119,-52246.0,152.43,-71.554,0.33203,-58475.0,363.25,-87.026,0.88106,90.0,250.0,0.99996,0.0013533,0.00016917,11
Indole,-70.493,1.5303,9384.2,94.259,8.9537,0.21638,160.32,0.11396,34.144,0.052805,74.445,1.799,-45755.0,74.741,-59.648,0.16559,-50990.0,148.56,-72.825,0.36096,90.0,250.0,0.99999,0.00052691,5.8546e-5,12
2-Tridecanone,-84.631,2.1773,11373.0,140.37,10.662,0.30547,185.04,0.12208,32.362,0.047839,88.653,2.5398,-53939.0,84.757,-71.812,0.17682,-62365.0,257.28,-92.422,0.618,90.0,250.0,0.99999,0.00054237,6.7796e-5,11
C15,-76.901,3.1061,10921.0,200.4,9.5624,0.43575,185.19,0.097861,32.129,0.07916,79.506,3.623,-54363.0,135.94,-72.702,0.29333,-61931.0,371.26,-91.21,0.8936,90.0,250.0,0.99999,0.00024571,4.0951e-5,9
C16,-82.664,3.9292,11708.0,259.55,10.29,0.54909,198.13,0.201,32.383,0.087017,85.559,4.5654,-57027.0,160.77,-75.095,0.32922,-66279.0,521.09,-97.395,1.2367,90.0,250.0,0.99996,0.0014779,0.00018474,11
2-Pentadecanone,-89.503,5.2383,12465.0,353.59,11.203,0.7294,210.52,0.21478,33.201,0.10436,93.15,6.0646,-58586.0,191.37,-75.219,0.38453,-69812.0,757.19,-101.91,1.7818,90.0,250.0,0.99995,0.0012803,0.0001829,10
Coumarin,-64.143,1.9271,9406.0,124.11,8.0136,0.27046,183.79,0.13918,36.348,0.066163,66.629,2.2488,-47760.0,91.675,-58.615,0.1929,-54009.0,231.33,-73.921,0.553,90.0,250.0,0.99998,0.00060865,7.6081e-5,11
C17,-89.484,5.5076,12538.0,371.51,11.174,0.76698,210.13,0.22248,32.723,0.1073,92.907,6.377,-59343.0,202.11,-76.885,0.40659,-70504.0,793.96,-103.44,1.869,90.0,250.0,0.99995,0.0014156,0.00020223,10
C18,-97.183,4.5454,13427.0,312.72,12.18,0.63093,221.6,0.18557,33.074,0.076588,101.27,5.2459,-61535.0,149.78,-78.467,0.29176,-74863.0,707.92,-109.78,1.6498,90.0,250.0,0.99997,0.00095796,0.00013685,10
C19,-101.43,4.6979,14067.0,329.24,12.711,0.65011,232.62,0.14942,33.488,0.0687,105.68,5.4054,-63510.0,135.59,-79.664,0.26027,-78582.0,783.64,-114.67,1.8103,90.0,250.0,0.99998,0.00046526,7.7543e-5,9
Indole-3-acetic acid ethyl ester,-94.944,1.7649,13125.0,124.27,11.98,0.24405,235.3,0.064111,36.753,0.032628,99.607,2.0292,-58483.0,53.974,-69.116,0.10314,-72956.0,300.11,-102.64,0.69102,90.0,250.0,1.0,5.4167e-5,1.0833e-5,8
C20,-108.03,3.4411,14883.0,245.46,13.564,0.47486,243.08,0.1079,33.815,0.050607,112.77,3.9482,-65524.0,101.82,-81.021,0.1918,-82787.0,613.55,-120.69,1.4025,90.0,250.0,0.99999,0.00024822,4.137e-5,9
C21,-113.84,4.1762,15640.0,302.74,14.306,0.57477,253.07,0.09947,34.136,0.052363,118.95,4.7789,-67446.0,106.55,-82.262,0.19809,-86843.0,787.02,-126.38,1.784,90.0,250.0,0.99999,0.00015172,3.0343e-5,8
Triphenylmethane,-90.391,2.6696,13083.0,192.68,11.327,0.3677,250.04,0.091929,38.249,0.054673,94.178,3.0572,-59503.0,87.587,-67.823,0.16379,-74575.0,497.5,-102.21,1.1287,90.0,250.0,0.99999,0.00014884,2.4806e-5,9
C22,-119.74,3.3194,16408.0,244.49,15.061,0.45572,262.63,0.076075,34.426,0.049519,125.23,3.7891,-69331.0,101.65,-83.493,0.18704,-90949.0,662.32,-132.2,1.4858,90.0,250.0,0.99999,9.5377e-5,1.9075e-5,8
C23,-125.77,4.1618,17184.0,310.94,15.833,0.57004,271.8,0.069925,34.71,0.052905,131.64,4.7396,-71137.0,109.95,-84.631,0.19967,-95070.0,868.89,-138.06,1.9343,90.0,250.0,1.0,5.4948e-5,1.3737e-5,7
C24,-131.34,3.1005,17927.0,235.0,16.542,0.42374,280.59,0.049402,34.975,0.050597,137.54,3.5232,-72895.0,106.25,-85.733,0.1908,-99109.0,680.02,-143.76,1.4987,90.0,250.0,1.0,3.0362e-5,7.5906e-6,7
C25,-136.13,2.3407,18613.0,179.9,17.143,0.31924,289.05,0.036312,35.214,0.047871,142.53,2.6543,-74627.0,101.91,-86.834,0.18066,-103000.0,538.18,-149.13,1.1741,90.0,250.0,1.0,1.7233e-5,4.3082e-6,7
C26,-140.68,3.2873,19278.0,255.67,17.711,0.44747,297.19,0.035718,35.446,0.059167,147.26,3.7204,-76302.0,127.72,-87.875,0.22347,-106810.0,781.43,-154.35,1.6943,90.0,250.0,1.0,1.0417e-5,3.4724e-6,6
C28,-148.11,3.9432,20483.0,313.93,18.62,0.53481,312.58,0.033278,35.826,0.07686,154.82,4.4467,-79624.0,171.06,-90.03,0.29174,-114080.0,1004.5,-164.04,2.1457,90.0,250.0,1.0,3.4426e-6,1.7213e-6,5
C30,-155.02,2.0102,21640.0,163.76,19.458,0.27173,326.91,0.02965,36.139,0.054623,161.78,2.2593,-82841.0,125.48,-92.147,0.20878,-121170.0,549.86,-173.4,1.1538,90.0,250.0,1.0,8.8874e-7,4.4437e-7,5
C32,-164.19,3.7184,22964.0,308.86,20.607,0.50114,340.33,0.060316,36.462,0.10373,171.34,4.1667,-85821.0,244.73,-93.984,0.39822,-128710.0,1071.6,-183.82,2.2209,90.0,250.0,1.0,4.0055e-7,4.0055e-7,4
Benzamide,-80.438,1.3844,10152.0,85.829,10.32,0.19549,164.43,0.069213,33.976,0.039308,85.808,1.6254,-46857.0,56.2,-61.174,0.12504,-53244.0,134.19,-77.173,0.32882,90.0,250.0,0.99999,0.0001291,1.8442e-5,10
4-Nitroaniline,-78.712,2.7679,10931.0,184.78,9.9431,0.38612,204.12,0.16121,36.824,0.072604,82.672,3.2104,-51431.0,107.19,-61.854,0.21556,-60866.0,383.17,-84.445,0.90493,90.0,250.0,0.99998,0.00073081,9.1352e-5,11
1-Naphthol,-85.904,1.4494,11106.0,94.666,10.995,0.20295,191.6,0.081822,36.024,0.045128,91.421,1.6874,-49852.0,64.87,-61.358,0.13569,-59140.0,184.17,-83.91,0.4388,90.0,250.0,0.99999,0.0002019,2.5237e-5,11
Resorcinol,-101.85,3.9229,11503.0,237.87,13.274,0.55607,152.7,0.23097,30.999,0.10862,110.36,4.6234,-48641.0,178.42,-68.313,0.405,-55561.0,345.26,-85.891,0.84692,90.0,250.0,0.99994,0.002148,0.00026849,11
Hexanophenone,-78.324,1.5704,10632.0,100.92,9.8885,0.22045,183.27,0.092716,34.048,0.039071,82.218,1.8329,-50872.0,61.927,-65.55,0.12989,-58540.0,182.85,-84.345,0.43985,90.0,250.0,0.99999,0.00028247,3.5309e-5,11
Heptanophenone ,-83.838,1.8226,11377.0,120.05,10.59,0.25479,197.01,0.085248,34.547,0.038677,88.049,2.1184,-53200.0,62.607,-67.246,0.12833,-62621.0,235.9,-89.984,0.56273,90.0,250.0,0.99999,0.0001844,2.6343e-5,10
Octanophenone ,-86.602,1.7521,11959.0,118.22,10.902,0.24399,210.21,0.10662,34.924,0.036617,90.642,2.0287,-55622.0,63.271,-69.167,0.1233,-66518.0,253.06,-95.085,0.59423,90.0,250.0,0.99999,0.00019305,3.2175e-5,9
Tert-butylpyridine,-61.022,1.5243,8078.2,87.538,7.7361,0.218,126.93,0.088618,32.122,0.044489,64.322,1.8125,-41432.0,60.247,-57.651,0.14525,-43807.0,91.392,-63.88,0.22972,90.0,250.0,0.99999,0.00023273,3.3247e-5,10
4-Methylpyridine,-48.641,12.754,6435.6,660.74,6.1357,1.8559,81.727,0.26217,29.575,0.36397,51.015,15.431,-35405.0,438.84,-53.858,1.23,-34983.0,458.76,-52.683,1.2831,90.0,250.0,0.99987,0.00073153,0.00024384,6
4-Ethylaniline,-65.571,1.078,8673.0,63.575,8.3138,0.1535,139.39,0.073921,32.458,0.031421,69.125,1.2762,-43594.0,45.0,-59.766,0.10403,-47008.0,78.634,-68.58,0.19475,90.0,250.0,0.99999,0.00019728,2.466e-5,11
4-Butylaniline,-70.911,2.3897,9769.6,150.0,8.9269,0.33679,170.45,0.13896,33.871,0.072856,74.222,2.8002,-48304.0,108.22,-62.984,0.2367,-54275.0,251.37,-77.836,0.61002,90.0,250.0,0.99998,0.0006593,8.2413e-5,11
4-Hexylaniline,-80.831,2.0464,11184.0,135.32,10.175,0.28593,198.57,0.11371,34.859,0.054685,84.604,2.3774,-53076.0,87.106,-66.606,0.17858,-62261.0,273.49,-88.737,0.64817,90.0,250.0,0.99999,0.00034993,4.999e-5,10
4-Octylaniline,-93.04,2.305,12751.0,159.23,11.743,0.31974,223.94,0.10135,35.74,0.044627,97.637,2.6585,-57484.0,75.507,-69.733,0.14631,-70561.0,364.76,-100.39,0.84815,90.0,250.0,0.99999,0.00024603,3.5147e-5,10
4-Decylaniline,-101.85,1.727,14089.0,123.97,12.836,0.23807,246.83,0.057539,36.465,0.030702,106.73,1.9794,-61650.0,53.67,-72.654,0.10068,-78388.0,315.37,-110.97,0.71798,90.0,250.0,1.0,6.2393e-5,1.0399e-5,9
4-Dodecylaniline,-111.28,1.653,15476.0,122.76,14.013,0.22665,267.6,0.039526,37.02,0.031862,116.51,1.8844,-65672.0,57.331,-75.539,0.1049,-86364.0,339.71,-121.93,0.75771,90.0,250.0,1.0,2.3591e-5,4.7181e-6,8
1-Octanol,-72.147,2.7893,8868.5,157.38,9.2224,0.39999,119.59,0.10334,29.399,0.049547,76.679,3.3257,-43622.0,77.017,-65.163,0.18946,-45891.0,126.65,-71.169,0.32455,90.0,250.0,0.99999,0.00021176,4.2352e-5,8
Octanoic acid,-94.066,4.2967,10730.0,250.44,12.187,0.61297,134.05,0.27266,28.749,0.085801,101.33,5.0965,-47954.0,156.86,-71.857,0.3602,-52418.0,281.65,-83.458,0.69681,90.0,250.0,0.99997,0.00085578,0.00021395,7
Decanoic acid ,-90.183,5.4345,11241.0,337.06,11.513,0.76741,164.35,0.1799,30.853,0.14331,95.724,6.3806,-51583.0,243.33,-71.995,0.54981,-58701.0,534.84,-89.826,1.3116,90.0,250.0,0.99995,0.00090206,0.00015034,9
Dextromethorphan,-95.683,1.2986,13831.0,96.542,12.02,0.17803,268.23,0.033436,40.017,0.029678,99.94,1.4802,-60895.0,45.784,-66.575,0.083708,-78707.0,267.87,-106.48,0.59705,90.0,250.0,1.0,1.4555e-5,2.9111e-6,8
Lidocaine,-89.128,1.8116,12720.0,127.72,11.178,0.25046,236.13,0.063192,36.909,0.031291,92.941,2.0825,-58426.0,51.611,-68.815,0.098297,-72008.0,308.99,-100.25,0.7114,90.0,250.0,1.0,6.9057e-5,1.1509e-5,9
Caffeine,-90.358,1.7968,12546.0,125.98,11.415,0.24864,232.6,0.081658,37.765,0.038848,94.912,2.0673,-56314.0,60.716,-65.44,0.11594,-69848.0,301.55,-96.876,0.69505,90.0,250.0,0.99999,0.00014878,2.1254e-5,10
Anthracene,-73.065,1.1124,10983.0,77.913,9.1317,0.15396,231.99,0.056983,40.053,0.026717,75.925,1.2801,-52969.0,37.298,-58.951,0.070938,-63749.0,185.88,-84.008,0.4287,90.0,250.0,1.0,3.598e-5,7.1961e-6,8
"(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol",-79.537,2.4622,11353.0,167.36,9.9811,0.34245,214.54,0.13556,36.675,0.05428,82.988,2.8473,-53920.0,85.247,-64.654,0.1665,-64256.0,365.8,-89.125,0.85705,90.0,250.0,0.99999,0.00013384,3.3461e-5,7
Diphenylamine,-82.105,2.0711,11309.0,138.78,10.374,0.28874,206.26,0.1187,36.275,0.051356,86.257,2.4007,-52679.0,79.012,-63.976,0.15793,-62707.0,291.16,-87.932,0.68638,90.0,250.0,0.99999,0.00040867,5.1084e-5,11
Benzocaine,-82.394,2.1502,11266.0,142.23,10.403,0.3004,198.98,0.13296,35.075,0.052575,86.493,2.4977,-52839.0,84.61,-66.01,0.17069,-62265.0,286.47,-88.708,0.6789,90.0,250.0,0.99999,0.00027916,4.6527e-5,9
Nikethamide,-79.225,2.6894,10883.0,176.47,9.9989,0.37625,194.37,0.15648,35.205,0.073549,83.135,3.1283,-51621.0,113.24,-64.506,0.23361,-60297.0,347.12,-85.508,0.8258,90.0,250.0,0.99998,0.00053009,7.5727e-5,10
Nicotine,-71.475,0.82972,9615.9,51.852,9.0691,0.117,168.9,0.048864,34.852,0.020572,75.404,0.97278,-46618.0,29.383,-59.55,0.063329,-52568.0,82.729,-74.375,0.20213,90.0,250.0,1.0,4.5553e-5,7.5921e-6,9
Tri-n-hexylamine ,-93.157,2.5248,12821.0,171.45,11.692,0.35122,213.87,0.077791,33.28,0.052244,97.211,2.9202,-59259.0,94.935,-75.768,0.192,-71301.0,374.44,-104.3,0.87878,90.0,250.0,0.99999,0.00013579,2.2632e-5,9
Tri-n-octylamine ,-123.75,0.97035,16977.0,72.412,15.57,0.13293,271.08,0.01644,34.833,0.012198,129.45,1.1053,-70698.0,25.123,-83.998,0.045659,-94140.0,201.77,-136.37,0.44952,90.0,250.0,1.0,2.9882e-6,7.4704e-7,7
Tri-n-decylamine,-145.13,0.97658,20451.0,78.267,18.18,0.13232,316.75,0.0095247,35.777,0.021007,151.16,1.1002,-80871.0,47.557,-91.184,0.080528,-115150.0,253.98,-164.52,0.5398,90.0,250.0,1.0,2.1074e-7,1.0537e-7,5
C34,-165.31,2.1848,23687.0,185.02,20.652,0.29367,352.42,0.054144,36.343,0.073578,171.71,2.4417,-89527.0,181.91,-97.206,0.29,-134590.0,666.35,-190.59,1.3594,90.0,250.0,1.0,1.3755e-7,1.3755e-7,4
C36,-175.0,Inf,25045.0,Inf,21.871,Inf,364.2,Inf,36.576,Inf,181.85,Inf,-92340.0,Inf,-98.975,Inf,-142200.0,Inf,-201.26,Inf,90.0,250.0,1.0,1.1469e-22,Inf,3
